x,y,id
11.613,48.199,414
11.614,48.199,415
11.615,48.199,416
11.616,48.199,417
11.617,48.199,418
11.618,48.199,419
11.619,48.199,420
11.62,48.199,421
11.621,48.199,422
11.622,48.199,423
11.623,48.199,424
11.624,48.199,425
11.625,48.199,426
11.626,48.199,427
11.627,48.199,428
11.628,48.199,429
11.629,48.199,430
11.63,48.199,431
11.631,48.199,432
11.632,48.199,433
11.633,48.199,434
11.634,48.199,435
11.635,48.199,436
11.636,48.199,437
11.637,48.199,438
11.638,48.199,439
11.639,48.199,440
11.64,48.199,441
11.641,48.199,442
11.642,48.199,443
11.643,48.199,444
11.644,48.199,445
11.645,48.199,446
11.646,48.199,447
11.647,48.199,448
11.648,48.199,449
11.649,48.199,450
11.65,48.199,451
11.651,48.199,452
11.652,48.199,453
11.653,48.199,454
11.654,48.199,455
11.655,48.199,456
11.656,48.199,457
11.657,48.199,458
11.658,48.199,459
11.659,48.199,460
11.66,48.199,461
11.661,48.199,462
11.662,48.199,463
11.663,48.199,464
11.664,48.199,465
11.665,48.199,466
11.666,48.199,467
11.667,48.199,468
11.668,48.199,469
11.669,48.199,470
11.67,48.199,471
11.671,48.199,472
11.672,48.199,473
11.673,48.199,474
11.674,48.199,475
11.675,48.199,476
11.676,48.199,477
11.677,48.199,478
11.678,48.199,479
11.679,48.199,480
11.68,48.199,481
11.681,48.199,482
11.682,48.199,483
11.683,48.199,484
11.684,48.199,485
11.685,48.199,486
11.686,48.199,487
11.687,48.199,488
11.688,48.199,489
11.689,48.199,490
11.69,48.199,491
11.691,48.199,492
11.692,48.199,493
11.693,48.199,494
11.694,48.199,495
11.695,48.199,496
11.696,48.199,497
11.697,48.199,498
11.698,48.199,499
11.699,48.199,500
11.7,48.199,501
11.45,48.198,502
11.451,48.198,503
11.452,48.198,504
11.453,48.198,505
11.454,48.198,506
11.455,48.198,507
11.456,48.198,508
11.457,48.198,509
11.458,48.198,510
11.459,48.198,511
11.46,48.198,512
11.461,48.198,513
11.462,48.198,514
11.463,48.198,515
11.464,48.198,516
11.465,48.198,517
11.466,48.198,518
11.467,48.198,519
11.468,48.198,520
11.469,48.198,521
11.47,48.198,522
11.471,48.198,523
11.472,48.198,524
11.473,48.198,525
11.474,48.198,526
11.475,48.198,527
11.476,48.198,528
11.477,48.198,529
11.478,48.198,530
11.479,48.198,531
11.48,48.198,532
11.481,48.198,533
11.482,48.198,534
11.483,48.198,535
11.484,48.198,536
11.485,48.198,537
11.486,48.198,538
11.487,48.198,539
11.488,48.198,540
11.489,48.198,541
11.49,48.198,542
11.491,48.198,543
11.492,48.198,544
11.493,48.198,545
11.494,48.198,546
11.495,48.198,547
11.496,48.198,548
11.497,48.198,549
11.498,48.198,550
11.499,48.198,551
11.5,48.198,552
11.501,48.198,553
11.502,48.198,554
11.503,48.198,555
11.504,48.198,556
11.505,48.198,557
11.506,48.198,558
11.507,48.198,559
11.508,48.198,560
11.509,48.198,561
11.51,48.198,562
